time,USEmbassy,RenkeLUMS,PAirGardenTown,PAirDHAPhase2,PAirAnarkali,PAirHarbanspura,PAirDefenceChowk,PAirIqbalTown,PAirAkbarChowk,PAirTownship,MetStation,DentalCollege,EPAGulberg
1/1/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,159.093,440.88,-1
1/2/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111.831,446.313,-1
1/3/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.487,257.009,-1
1/4/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,113.901,-1,-1
1/5/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90.38,-1,-1
1/6/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.732,-1,-1
1/7/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.595,175.168,-1
1/8/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90.026,209.285,-1
1/9/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.258,201.819,-1
1/10/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.336,208.404,-1
1/11/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.026,212.782,-1
1/12/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.449,76.449,-1
1/13/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.984,72.122,-1
1/14/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.462,99.753,-1
1/15/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.989,217.439,-1
1/16/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.198,274.757,-1
1/17/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91.003,277.076,-1
1/18/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.153,232.196,-1
1/19/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57.166,231.868,-1
1/20/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.793,201.236,-1
1/21/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.325,85.715,-1
1/22/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.382,45.805,-1
1/23/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45.201,67.371,-1
1/24/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79.851,155.754,-1
1/25/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.374,196.062,-1
1/26/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77.873,163.862,-1
1/27/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.023,319.068,-1
1/28/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.692,257.743,-1
1/29/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44.914,134.676,-1
1/30/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.459,261.908,-1
1/31/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.281,63.282,-1
2/1/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.123,70.435,-1
2/2/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.533,134.949,-1
